year,univ_cd,gaeseol_grade_gb,cpx_gyoyuk_time,osce_gyoyuk_time,cpx_student_time,osce_student_time,ins_ip,ins_date,ins_man,upd_ip,upd_date,upd_man,bigo,imsang_gyoyuk_time
2021-08-26 09:39:10.924000,YYYY-MM-DD HH24:MI:SS.FF,univ11,진료수행과 연습,환자의사사회,,,,,,128,30,1)진료수행연습I,II   2) 환자.의사.사회I,II
2021-09-10 16:33:02.304000,YYYY-MM-DD HH24:MI:SS.FF,univ11,진료수행과 술기,4,,,,,,15,환자.의사.사회III,,,
2021-08-27 13:36:36.308000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,,,,,,,,,,
2021-08-27 13:36:36.311000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,,,,,,,,,,
2021-08-27 13:36:36.313000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,,,,,,,,,,
2021-08-27 13:36:36.315000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,,,,,,,,,,
2021-09-17 16:33:02.789000,YYYY-MM-DD HH24:MI:SS.FF,univ23,0,0,,,0,0,0,39,,,,
2021-09-17 16:33:02.791000,YYYY-MM-DD HH24:MI:SS.FF,univ23,0,0,,,0,0,0,36,,,,
2021-09-24 14:40:40.746000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,,8,5,임상실습입문 8시간 중 5시간은 환자면담 교육,,,,,
2021-09-24 14:40:40.746000,YYYY-MM-DD HH24:MI:SS.FF,univ02,,,,,21,7,임상실습입문 21시간 중 7시간은 환자면담 교육,,,,,
2021-09-24 14:40:40.746000,YYYY-MM-DD HH24:MI:SS.FF,univ02,30,1,,,임상실습입문 30시간 중 1시간은 환자면담 교육,,,,,,,
2021-09-24 14:41:22.123000,YYYY-MM-DD HH24:MI:SS.FF,univ02,임상실습입문 교육 없음,,,,,,,,,,,
2021-09-28 16:29:57.389000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,40,,,,,,,,,,
2021-09-28 16:34:05.270000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,37,,,1,,,,,,,
2021-09-28 16:35:34.076000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,,,,,,
2021-09-28 16:36:10.266000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,,,,,,,,,,
2021-10-01 19:59:00.216000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,,,,,,,,,
2021-09-03 15:45:00.649000,YYYY-MM-DD HH24:MI:SS.FF,univ07,10,,,,8,,,,,,,
2021-09-16 16:40:49.981000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,770,602,44,9.5,,,,
2021-09-15 17:38:39.128000,YYYY-MM-DD HH24:MI:SS.FF,univ31,,,,,32,,,,,,,
2021-09-30 11:12:54.178000,YYYY-MM-DD HH24:MI:SS.FF,univ05,14,10,,,15,,,,,,,
2021-09-29 14:54:52.672000,YYYY-MM-DD HH24:MI:SS.FF,univ05,,,,,32,16,,,,,,
2021-09-30 15:02:02.089000,YYYY-MM-DD HH24:MI:SS.FF,univ39,,,,,,,,,,,,
ICM+임상실습개론),,,,,,,,,,,,,,
2021-09-30 18:29:07.994000,YYYY-MM-DD HH24:MI:SS.FF,univ36,0,0,,,0,0,,,,,,
2021-10-01 11:05:11.039000,YYYY-MM-DD HH24:MI:SS.FF,univ36,0,0,,,0,0,,,,,,
2021-10-19 09:51:20.305000,YYYY-MM-DD HH24:MI:SS.FF,univ36,0.1,0.2,,,168,166.5,5,임상실습평가의 환자면담교육,,,,
2021-10-13 10:11:12.688000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,,20,1,,,,,,
2021-10-13 10:11:12.686000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,,4,10,92,12,,,,
2021-10-13 10:11:12.690000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,,44,86,40,3,,,,
2021-10-13 10:11:12.691000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,,,1,37,3,,,,,
2021-09-03 16:27:09.851000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,,,90,54,,,,,,
2021-09-16 12:01:12.910000,YYYY-MM-DD HH24:MI:SS.FF,univ29,0.1,0,,,1,73,32,,,,,
2021-09-16 14:23:23.340000,YYYY-MM-DD HH24:MI:SS.FF,univ29,0,0,,,19,2,,,,,,
2021-09-16 14:23:05.697000,YYYY-MM-DD HH24:MI:SS.FF,univ29,0,0.1,,,0,0,32,18,,,,
2021-09-16 14:23:05.697000,YYYY-MM-DD HH24:MI:SS.FF,univ29,0,0,,,0,0,10,7,,,,
2021-09-24 13:41:57.663000,YYYY-MM-DD HH24:MI:SS.FF,univ30,별도수업_임상수행평가 I,23,,,17,,,,,,,
2021-09-24 13:51:51.464000,YYYY-MM-DD HH24:MI:SS.FF,univ30,별도수업_임상수행평가 II,8,,,26,,,,,,,
2021-09-30 14:42:56.874000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,,,98,96,,,,,,
2021-09-30 11:22:11.001000,YYYY-MM-DD HH24:MI:SS.FF,univ17,0.1,0.1,,,,,,,,,,
2021-10-01 19:59:00.218000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,24.5,,,,,,,,,,
2021-10-01 14:27:09.348000,YYYY-MM-DD HH24:MI:SS.FF,univ40,,,,,28,,,,,,,
2021-10-07 15:13:28.263000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,64,64,64,64,,,,
2021-10-07 14:14:09.301000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,,,32,32,,,,,,
