year,univ_cd,program_seq,program_nm,program_gb,program_cmt
2020-09-24 16:00:42.940000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,
2020-09-24 16:00:50.145000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,
2019,UNIV36,2,학업성취 관리 및 학습부진학생 지도,1,학습부진학생 대상 일대일 멘토링 전담교수 매칭 지도 등
2019,UNIV36,6,진로지도 프로그램,3,교육과정
2019,UNIV36,7,예방접종비 감면,9,학교보건소 예방접종비 80% 감면 혜택
2019,UNIV36,10,평생지도교수 상담 관리 시스템,1,학생 개인별 평생지도교수가 학습 및 생활에 대한 상담
2019,UNIV36,8,진료비 감면,9,조선대학교병원 입원과 통원 진료비 할인 혜택
MMPI),,,,,
2019,UNIV36,4,학생상담실,2,평생지도교수 및 전문심리상담원이 다루기 어려운 정신적 문제에 대해 학생상담실 연결하여 상담
2019,UNIV36,9,감염 등 예방,관리,치료
2019,UNIV36,3,장학제도,1,성적
2019,UNIV36,1,학생상담센터,1,학습 및 생활에 대한 전문적 상담 제공
2019,UNIV12,1,개인상담 프로그램,9,대인관계
2019,UNIV12,4,셀프진로 코칭,,전문가 1인과 자발적으로 신청한 참가자 8~10인이 함께 상담에 참여하여 각 프로그램 별 주제에 따라 협동적으로 작업하여 적응 및 성장을 조력
2019,UNIV12,3,집단상담 프로그램,,정신건강 스크리닝 검사를 실시하고 고위험 학생에 대해 추후 개별개입이 진행
2019,UNIV11,10,진로에 대한 멘토링,1,각 학년별 같은 번호 선후배간 학교생활과 진로에 대한 멘토링 활동
2019,UNIV11,5,신입생 적응 검사,1,신입생들의 정신 건강과 적응 능력을 측정하기 위하여?신입생 OT 때 전수 실시. 매년 검사 종료 달라짐. 위험군을 찾아 내어 개입.?
2019,UNIV11,3,학업 저성취자 학교 적응프로그램,1,학업 저성취의 원인을 찾고
2019,UNIV11,9,멘토-멘티 프로그램,1,졸업생과 재학생의 사회생활 교류 및 친목도모
2019,UNIV11,1,자살예방교육,2,Mind-keeper 양성 교육으로 주변인들의 자살 위험을 인지할 수 있는 능력을 배양하는 교육.
2019,UNIV11,7,심리적성검사,2,성격검사
2019,UNIV11,8,진로지도,1,의학과 4학년 대상으로 학장단과 지도교수가 함께하는 진로지도 간담회
학교 적응,진로,성격,대인관계 등)에 대해 이야기 하고,자기 이해를 높이고 문제를 해결하는 상담,
자존감 향상 집단,스트레스 감소 집단,자기이해 집단 등),,,
2019,UNIV11,4,폭력예방교육,1,성희롱. 성폭력. 가정폭력 예방교육 실시.
2020-12-31 11:38:33.092000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,
2020-09-21 15:41:37.386000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2020-09-21 15:41:37.386000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2020-10-07 09:54:35.514000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,
2020-10-07 09:54:35.514000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,
2020-12-31 11:38:33.089000,YYYY-MM-DD HH24:MI:SS.FF,univ13,,,
2021-08-27 13:31:54.268000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,
2021-08-27 13:31:54.270000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,
2020,UNIV40,1,2019프로2,4,학생상담
2020,UNIV40,2,2019프로,1,학생 교육
2021-08-27 13:32:14.053000,YYYY-MM-DD HH24:MI:SS.FF,univ41,,,
2021-08-27 09:21:35.147000,YYYY-MM-DD HH24:MI:SS.FF,univ07,,,
2020,UNIV03,1,성희롱,성폭력 예방교육,1
2020,UNIV03,7,부당행위 예방교육,1,부당행위 피해 방지 및 구제 방안 교육
MBTI),3,MBTI 검사를 통한 학생 성격 유형 분석,,,
2020,UNIV03,4,학습증진 세미나,1,성적 하위 학생 대상 학습 방법 개선 세미나
2020,UNIV03,6,지도교수 학생 상담,1,각 지도학생 대상 학습·진로·생활 영역의 개별 상담 진행
2020,UNIV03,5,의전원생 맞춤 전수상담,1,의전원생의 특수성을 고려한 개별 상담 진행
SNU),3,SNU 검사를 통한 학생 학습 유형 분석,,,
2020,UNIV38,4,신입생 오리엔테이션,1,
2020,UNIV38,5,학습멘토링,1,
MBTI),1,의과대학 재학생들의 심리상태를 파악하고 학업 및 생활지도에 이용,,,
2021-09-25 23:57:03.624000,YYYY-MM-DD HH24:MI:SS.FF,univ23,,,
2020,UNIV19,6,진로박람회,3,1년에 2회 의학과 졸업 후 다양한 분야에서 활동하는 선배와 전공의를 초빙 대화를 통하여 각 분야를 설명
2020,UNIV38,2,소식지,1,
2020,UNIV38,3,재학생보험,9,
멘토-멘티),1,,,,
2020,UNIV19,7,상담코칭센터,2,전문 상담사의 상담실 상시 운영 및 정기적인 심리검사 시행
2020,UNIV19,4,담임반 제도,1,교수 1명에 학년별 학생 1~2명을 매칭하여 지도 졸업 후에도 지속
2020,UNIV19,3,교내 연결고리 멘토링,2,학생 선
2020,UNIV19,5,집중팀학습지도,1,의학과 4학년에서 성적이 부진한 학생을 대상으로 특강 및 주기적인 면담과 관리
2020,UNIV19,2,팀학습지도,1,의학과 3
2021-10-07 14:24:49.596000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,
2021-10-07 14:24:49.598000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,
2020,UNIV12,1,개인상담 프로그램,9,대인관계
2020,UNIV12,4,셀프진로 코칭,,전문가 1인과 자발적으로 신청한 참가자 8~10인이 함께 상담에 참여하여 각 프로그램 별 주제에 따라 협동적으로 작업하여 적응 및 성장을 조력
2020,UNIV12,3,집단상담 프로그램,,정신건강 스크리닝 검사를 실시하고 고위험 학생에 대해 추후 개별개입이 진행
강점+자소서 작성)별 프로그램 내용을 구별하여 진행,,,,,
2020,UNIV12,5,마음봄 특강,,인성 및 적성과 관련하여 표준화된 심리검사를 활용하여 자기를 보다 객관적으로 관찰하여 학교생활 적응을 조력하는 프로그램
의과대학 축제 및 전시회,체육대회,신입생 환영 MT인 ‘새터’ 행사 등,,,
2020,UNIV05,5,학내 및 학외 상담프로그램,2,상담실 운영
2020,UNIV05,10,동창회 강연 프로그램,4,경북대학교 의과대학 동창회에서 주최하는 강연을 통해 개원 동문선배 및 사회 저명인사들의 경험담을 학생들에게 제공
2020,UNIV05,6,학술연구활동,1,기초교실 학생 교실원 제도 운영
2020,UNIV05,3,신입생 간담회,1,매년 3월 말 멘토교수와  신입생이 함께하는 신입생 간담회를 시행
2020,UNIV05,9,동아리 활동,3,공연
2020,UNIV05,4,예비의사 진로세미나,4,의학과 4학년을 대상으로 졸업 전 본인 진로에 대해 교수들과 이야기를 나눌 수 있는 행사
2020,UNIV05,8,정신심리검사,2,예과 1학년
멘토-멘티제) 및 동아리 지도교수제를 두어 학년별,그룹별 및 개인별로 학습,생활,및 진로를 지원하고 있음.,,
2021-09-30 10:01:46.540000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,
2021-09-07 15:49:51.729000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2020,UNIV33,2,개인상담 프로그램,1,대학생활상담센터 연계 재학생 인적성검사 시행
2020,UNIV33,3,신입생 생활지도,부당행위 예방교육,1
2020,UNIV35,1,정신건강 증진 프로그램,2,의과대학 학생을 대상으로 스트레스 해소 및 우울증 등 정신건강에 관련된 전문적이고 지속적인 정신건강 증진 프로그램
2020,UNIV35,2,학생동아리 활동 지원,9,학생동아리 활동 활성화에 원활한 운영및 학교생활 지원
2020,UNIV35,3,신입생 에니어그램 검사,1,성격 및 행동 유형을 9가지로 분석한 에니어그램 검사를 통해 신입생들의 추후 진로 방향성에 대하여 설명
2020,UNIV35,4,찾아가는 학습클리닉,1,학생 개인별 학습유형을 분석하여 올바른 학업 증진을 위한 방향성 설명
2020,UNIV35,5,신입생 MBTI검사,3,MBTI 성격유형검사를 통하여 본인의 행동 및 학습유형 분석
2020,UNIV35,6,적성검사를 통한 자기이해,3,본교 취업지원과에서 신입생을 대상으로 진행하는 진로적성검사를 통해 본인의 학업 및 진로 가치관 탐색에 도움을 줌
2020,UNIV08,1,,1,
2021-09-01 13:59:01.171000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,
2021-09-01 14:02:19.546000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,
2021-09-01 14:02:19.546000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,
2019,UNIV29,1,의과대학 학년별 지도교수제,1,학생들의 학업성취 및 성적하위권
2021-09-01 14:02:55.497000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,
2021-09-07 15:46:17.171000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2021-09-07 15:44:06.172000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2020,UNIV14,12,학습 코칭,1,학생들의 주도적 학습능력 배양 및 개인별 맞춤화된 학습방법 습득-개발 지원
2019,UNIV29,2,한양행복드림센터 프로그램,2,심리검사: MMPI
집단상담),1,자기이해프로그램/한양커뮤니쿠스프로그램 /학습 관련 프로그램/진로 상담 프로그램/또래상담자 교육프로그램,,,
2021-09-01 14:02:19.546000,YYYY-MM-DD HH24:MI:SS.FF,univ18,,,
2019,UNIV29,8,한양대학교 인권센터,9,인권상담실: 성희롱
2019,UNIV29,9,의과대학 지도교수제,1,학생 개개인의 진로 및 대학생활전반에 대한 이해 및 조언/교수/학생 1:1 상담
2020,UNIV29,1,의과대학 학년별 지도교수제,1,학생들의 학업성취 및 성적하위권
2020,UNIV29,2,한양행복드림센터 프로그램,2,심리검사: MMPI
집단상담),1,자기이해프로그램/한양커뮤니쿠스프로그램 /학습 관련 프로그램/진로 상담 프로그램/또래상담자 교육프로그램,,,
2020,UNIV29,8,한양대학교 인권센터,9,인권상담실: 성희롱
2020,UNIV29,9,의과대학 지도교수제,1,학생 개개인의 진로 및 대학생활전반에 대한 이해 및 조언/교수/학생 1:1 상담
2020,UNIV24,3,의학교육 학생 모니터링단,1,각 학년별로 자발적 참여 학생들을 대상으로 교과목에 대한 학생 의견을 수집함
Learning community) 위하,1,지도교수 1인과 의예과 신입생 7인으로 구성된 조별 활동을 통해 원만한 학교생활 적응을 도움,,,
2020,UNIV24,12,의대축제,3,5월 무등제
2020,UNIV24,8,마음 돌<아>보기,2,학습
2020,UNIV24,6,의학교육 시신기증인 합동 추모식,1,해부실습교육을 위해 시신을 기증해주신 분들을 위해 기증인 유가족
2020,UNIV24,5,의예과 신입생 오리엔테이션,1,의예과 교육과정 소개 및 의예과 학습 및 생활 안내
교실)별로 학생들에게 전공과목을 소개하고 향후 진로 방향에 대해 의견 나눔,,,,,
2020,UNIV24,1,굴비조,1,지도교수 1인에게 각 학년 당 1명씩 배정하여 학습 및 생활지도 수행
2020,UNIV24,15,해외 기초/임상 실습,4,국외 대학 및 병원에서 기초/임상 실습하는 것을 지원
2020,UNIV24,9,건강검진 및 예방접종,2,의예과 입학시부터 각 학년별로 학교 보건진료소에서 건강검진 실시하고 필요한 예방접종 실시 및 안내
2020,UNIV24,4,의학과 진입생 오리엔테이션,1,의학과 교육과정 소개 및 의학과 1학년 학습 및 생활 안내
2020,UNIV24,11,동아리대항 체육대회,3,동아리의 활성화를 위해 친목 동아리를 중심으로 체육대회를 개최하고 있음
White coat ceremony),1,임상실습의 시작과 의사를 상징하는 하얀 가운을 입혀주는 `White Coat Ceremony` 행사를 부모님 및 지도교수와 함께 진행,,,
2020,UNIV24,14,기초의학연구 참여,4,기초의학교실을 중심으로 방학 중이나 학기중에 학생들이 교수연구에 참여하는 것을 지원
15) 등 총 30개 학생 동아리 활동 지원,,,,,
2020,UNIV24,13,초청 강연,4,연구 및 보건의료 정책 등 다양한 분야의 전문가를 초청하여 진로 탐색을 도움
2020,UNIV11,10,진로에 대한 멘토링,1,각 학년별 같은 번호 선후배간 학교생활과 진로에 대한 멘토링 활동
2020,UNIV11,5,신입생 적응 검사,1,신입생들의 정신 건강과 적응 능력을 측정하기 위하여?신입생 OT 때 전수 실시. 매년 검사 종료 달라짐. 위험군을 찾아 내어 개입.?
2020,UNIV11,3,학업 저성취자 학교 적응프로그램,1,학업 저성취의 원인을 찾고
2020,UNIV11,9,멘토-멘티 프로그램,1,졸업생과 재학생의 사회생활 교류 및 친목도모
2020,UNIV11,1,자살예방교육,2,Mind-keeper 양성 교육으로 주변인들의 자살 위험을 인지할 수 있는 능력을 배양하는 교육.
2020,UNIV11,7,심리적성검사,2,성격검사
2020,UNIV11,8,진로지도,1,의학과 4학년 대상으로 학장단과 지도교수가 함께하는 진로지도 간담회
학교 적응,진로,성격,대인관계 등)에 대해 이야기 하고,자기 이해를 높이고 문제를 해결하는 상담,
2020,UNIV32,2,담임반제도,9,학습
2021-09-14 15:48:58.834000,YYYY-MM-DD HH24:MI:SS.FF,univ36,,,
2020,UNIV32,6,학생지도위원회,1,학생의 상담과 지도를 총괄
2020,UNIV32,3,동아리 지도교수제,3,동아리 생활과 관련된 지도
2020,UNIV32,1,학년지도교수제,1,학습 및 학교생활 관련 상담과 지도
2020,UNIV41,2,분담지도교수 프로그램,1,학생 개인별 분담지도교수 지정하여 졸업시까지 관리
2021-09-14 16:26:34.662000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,
2021-09-14 16:20:43.513000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,
2021-09-14 16:07:20.471000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,
2021-09-14 16:09:29.168000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,
2021-09-14 16:26:45.571000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,
2021-09-14 15:59:20.093000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,
2021-09-14 16:20:43.513000,YYYY-MM-DD HH24:MI:SS.FF,univ25,,,
2020,UNIV06,8,실험실 안전교육,1,실험실 안전사고 예방을 위한 재학생 대상 안전교육 실시
2021-10-30 10:11:33.583000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,
2020,UNIV06,1,학생상담,2,재학생 상담활동을 통하여 대화의 기회 확대 및 중도 학업포기 예방과 대학생활 적응 등을 도모
2020,UNIV06,9,성희롱·성폭력 예방교육,1,성희롱·성폭력 예방 및 대처방안에 대한 교육 실시
2020,UNIV06,2,비타민 데이,1,중간/기말시험 기간에 학업에 지친 의예과 재학생들을 격려하고 학습 분위기를 조성키 위해 시행
2020,UNIV06,7,신입생 오리엔테이션,1,의예과 신입생의 대학생활 조기적응 유도
SDE),4,의학과 4학년에 학생 스스로 실습기관과 내용을 자유롭게 선택할 수 있는 선택실습과정을 개설하여 진로에 도움을 줌,,,
편)입생 입학 후 전임교원과의 1:1 결연을 통해 학교생활 전반에 대한 상담 및 지도,,,,,
2021-05-03 17:35:32.676000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,
2021-05-03 17:35:32.678000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,
2021-05-03 17:35:32.682000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,
2021-05-03 17:35:32.685000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,
2021-05-03 17:35:32.699000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,
2021-05-03 17:37:29.739000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,
2021-05-03 17:35:32.702000,YYYY-MM-DD HH24:MI:SS.FF,univ06,,,
2021-05-20 16:44:14.991000,YYYY-MM-DD HH24:MI:SS.FF,univ20,,,
2021-05-20 16:44:14.993000,YYYY-MM-DD HH24:MI:SS.FF,univ20,,,
2021-05-20 16:42:52.104000,YYYY-MM-DD HH24:MI:SS.FF,univ20,,,
2019,UNIV16,1,학년담임,학생담임교수 제도,1
2019,UNIV16,2,SENSE,3,전주기학생 종합지원 체계
2019,UNIV16,3,학습 튜터링 프로그램,1,상담교수를 지정하여 전수상담을 진행하고 상담진행
2020,UNIV18,1,진로개발특강,4,의대 졸업 이후의 진로설계에 대한 다양한 이력과 경력의 강사들의 특강
2020,UNIV18,2,진로선택박람회,4,기초/임상학 교실 소개 및 탐방
봉사,연구,창업 등) 지원 제도,,,
2021-10-19 15:34:45.111000,YYYY-MM-DD HH24:MI:SS.FF,univ22,,,
2021-10-19 17:45:31.432000,YYYY-MM-DD HH24:MI:SS.FF,univ33,,,
자존감 향상 집단,스트레스 감소 집단,자기이해 집단 등),,,
2020,UNIV11,4,폭력예방교육,1,성희롱. 성폭력. 가정폭력 예방교육 실시.
2020,UNIV37,1,MBTI/STRONG,1,대학본부 취업진로지원센터 MBTI 성격유형검사
2020,UNIV37,2,MMPI,2,대학본부 학생생활상담센터 신입생 대상 심리검사
2020,UNIV37,3,MLST-2,1,대학본부 역량교육혁신원 학습전략검사
2020,UNIV37,4,개인 상담 프로그램,2,대학본부 학생생활상담센터 개인 상담 프로그램
2021-04-30 16:20:23.219000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,
2021-04-30 16:27:44.375000,YYYY-MM-DD HH24:MI:SS.FF,univ09,,,
2021-05-06 13:46:17.749000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,
2021-05-06 13:47:34.884000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,
2021-05-06 13:47:34.878000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,
2021-05-06 13:47:34.880000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,
2021-05-06 13:48:18.370000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,
2021-05-06 13:48:18.372000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,
2021-05-06 13:48:45.261000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,
2021-05-06 13:48:18.376000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,
2021-05-06 13:48:45.259000,YYYY-MM-DD HH24:MI:SS.FF,univ28,,,
2019,UNIV03,1,성희롱,성폭력 예방교육,1
2019,UNIV03,7,부당행위 예방교육,1,부당행위 피해 방지 및 구제 방안 교육
MBTI),3,MBTI 검사를 통한 학생 성격 유형 분석,,,
2019,UNIV03,4,학습증진 세미나,1,성적 하위 학생 대상 학습 방법 개선 세미나
2019,UNIV03,6,지도교수 학생 상담,1,각 지도학생 대상 학습·진로·생활 영역의 개별 상담 진행
2019,UNIV03,5,의전원생 맞춤 전수상담,1,의전원생의 특수성을 고려한 개별 상담 진행
SNU),3,SNU 검사를 통한 학생 학습 유형 분석,,,
2021-04-22 15:57:05.685000,YYYY-MM-DD HH24:MI:SS.FF,univ17,,,
2019,UNIV13,1,해당사항없음,,
2019,UNIV19,1,리질리언스 멘토링,1,학습부진 및 유급 등의 위험 학생과 자발적 참여를 원하는 학생을 대상으로 교수와 매칭칭하여 학습역량을 지원
2019,UNIV19,6,진로박람회,3,1년에 2회 의학과 졸업 후 다양한 분야에서 활동하는 선배와 전공의를 초빙 대화를 통하여 각 분야를 설명
2019,UNIV19,7,상담코칭센터,2,전문 상담사의 상담실 상시 운영 및 정기적인 심리검사 시행
2019,UNIV19,4,담임반 제도,1,교수 1명에 학년별 학생 1~2명을 매칭하여 지도 졸업 후에도 지속
2019,UNIV19,3,교내 연결고리 멘토링,2,학생 선
2019,UNIV19,5,집중팀학습지도,1,의학과 4학년에서 성적이 부진한 학생을 대상으로 특강 및 주기적인 면담과 관리
2019,UNIV19,2,팀학습지도,1,의학과 3
2021-10-25 21:39:17.338000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,
2021-10-25 21:39:17.336000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,
2021-10-25 21:40:51.924000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,
2021-10-25 21:33:46.620000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,
2021-10-25 21:33:04.580000,YYYY-MM-DD HH24:MI:SS.FF,univ35,,,
2021-10-30 10:08:04.239000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,
2021-09-07 15:44:58.627000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2021-09-07 15:45:22.400000,YYYY-MM-DD HH24:MI:SS.FF,univ12,,,
2020,UNIV34,1,Dream설계프로젝트,1,진로탐색 및 대학생활 설계
2020,UNIV02,1,심리검사,1,학생에게 필요한 다양한 심리검사와 해석을 통해 자신에 대한 객관적 이해 향상에 도움
2020,UNIV02,2,집단상담,3,스트레스
2020,UNIV02,3,개인상담,2,학생이 겪는 개인적 갈등 및 현실적 문제를 극복할 수 있도록 정기적인 1:1 대면 상담 제공
2021-10-30 09:57:00.821000,YYYY-MM-DD HH24:MI:SS.FF,univ08,,,
2021-11-01 10:54:45.662000,YYYY-MM-DD HH24:MI:SS.FF,univ19,,,
2021-11-04 17:10:14.990000,YYYY-MM-DD HH24:MI:SS.FF,univ01,,,
2021-11-04 17:10:14.993000,YYYY-MM-DD HH24:MI:SS.FF,univ01,,,
2021-11-04 17:10:14.994000,YYYY-MM-DD HH24:MI:SS.FF,univ01,,,
2021-11-04 17:10:14.996000,YYYY-MM-DD HH24:MI:SS.FF,univ01,,,
2021-11-04 17:10:14.997000,YYYY-MM-DD HH24:MI:SS.FF,univ01,,,
2021-11-01 11:00:58.411000,YYYY-MM-DD HH24:MI:SS.FF,univ19,,,
2021-11-01 10:58:50.810000,YYYY-MM-DD HH24:MI:SS.FF,univ19,,,
2021-11-01 11:04:16.042000,YYYY-MM-DD HH24:MI:SS.FF,univ19,,,
2021-11-05 17:23:21.963000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,
2021-11-01 11:02:31.739000,YYYY-MM-DD HH24:MI:SS.FF,univ19,,,
2021-11-01 11:02:31.739000,YYYY-MM-DD HH24:MI:SS.FF,univ19,,,
2021-11-01 11:02:31.739000,YYYY-MM-DD HH24:MI:SS.FF,univ19,,,
2021-11-01 11:02:31.739000,YYYY-MM-DD HH24:MI:SS.FF,univ19,,,
2021-11-05 17:23:21.961000,YYYY-MM-DD HH24:MI:SS.FF,univ21,,,
